post,label
"Barack Obama ""pays for every dime"" of his spending plans.",Deception
Nevada Democratic Party leaders hijacked the process on the floor of the state convention ignoring the regular procedure and ramming through what they wanted to do.,Deception
Stimulus dollars paid for windmills from China.,Deception
Virginia is the No. 1 recipient of federal dollars.,Deception
Pregnant women who stand for five to six hours at a time increase their risk of pre-term pregnancy by 80 percent.,Deception
"Under Gov. Bob McDonnell, more jobs have been lost than created in Southside and Southwest Virginia.",Deception
"Says every day of a special session costs taxpayers $40,000.",Deception
"Says that under President Barack Obamas health care law, your insurance premiums could go up by 200 percent and cost as much as a new Explorer.",Deception
75 percent of the Obamacare tax falls on the middle class.,Deception
Illegal immigration costs our country more than $113 billion a year.,Deception
"Says Russ Feingold voted to raise taxes on Social Security benefits for seniors, he even tried to give Social Security benefits to illegal immigrants.",Deception
"Says 21,000 Wisconsin residents got jobs in 2011, but 18,000 of them were in other states.",Deception
Says President Barack Obama has said that everybody should hate the police.,Deception
"The federal government is going after school districts, trying to force them to let boys shower with little girls.",Deception
Ukraine was a nuclear-armed state. They gave away their nuclear arms with the understanding that we would protect them.,Deception
"Says that when Democrats controlled Congress and the White House, federal spending as a share of the Gross Domestic Product leapt from 18.2 percent in 2001 to 25.2 percent in 2009 -- the largest such increase in any eight-year period since World War II.",Deception
The federal government now tells us which light bulbs to buy.,Deception
Tell me what Madeleine Albrights position was on the War on Iraq. I wouldnt be surprised if she supported it.,Deception
Gerry Connolly and his fellow Democrats went on a spending spree and now their credit card is maxed out.,Deception
Says Tammy Baldwin voted to gut Medicare for seniors.,Deception
Says Chuck Hagel has called for an end to our nuclear program.,Deception
Says the public option considered in the health care law backed by U.S. Senate candidate Tammy Baldwin was wildly unpopular.,Deception
Michelle Nunns own plan says she funded organizations linked to terrorists.,Deception
Japans interest on its own debt is 25 percent of its national budget,Deception
The United States stood alone in the war in Iraq.,Deception
The Bush administration had been giving (auto companies) billions of dollars and just asking nothing in return.,Deception
There have been 74 school shootings in America since Sandy Hook.,Deception
"Kay Bailey Hutchison was elected state treasurer, succeeding Ann Richards. Democrats then abolished the position ... Hutchison later became a U.S. senator.",Deception
"Says Republican opponent Jason Isaac is peddling a plan meaning Texans would pay the highest sales taxes in America, up to 14.5 percent.",Deception
"Says Hillary Clinton has been saying lately that she thinks that I am, not qualifiedto be president.",Deception
Walker says hes for lower taxes. But Milwaukee County spending has gone up by $349 million.,Deception
Unfortunately everyone needs to cut back in these tough economic times. Thats why I voted to cut my own pay along with the pay of our state employees.,Deception
Says Gov. Scott Walker approved a gutting of two tax credits that help the poor and elderly.,Deception
Says George Washington said a free people should be armed to guard against government tyranny.,Deception
Obama nominee Dawn Johnsen called motherhood 'involuntary servitude.',Deception
"Obama's one education accomplishment was ""legislation to teach 'comprehensive sex education' to kindergartners.""",Deception
President Obama pushed through the stimulus based on the promise of keeping unemployment under 8 percent.,Deception
"Hillary Clinton ""agrees with (John McCain) in embracing the Bush-Cheney policy of not talking to leaders we don't like.""",Deception
Clinton's former pastor convicted of child molestation.,Deception
The seed of Muslim is passed through the father.,Deception
"Charlie Crist attacks me for positions he held, like, six months ago, (when) he was running in the Republican primary.",Deception
"Says when Rhode Island Lottery was proposed, state residents were enticed to vote for it with the promise that the money would be used for education.",Deception
Says the Human Rights Campaign is secretly funded,Deception
"Recently, Florida has successfully reduced the environmental permitting time down to just two days.",Deception
76 percent of Americans want a public health care option.,Deception
"(Dennis) Richardson wants to make drastic cuts to services we depend on: schools, home care for seniors, even public safety -- all so Richardson can keep more than $440 million in unspent funds for his political priorities.",Deception
Our recent state budgets have far exceeded population and inflation growth.,Deception
Says Gwen Graham was a Washington lobbyist.,Deception
"When I left Washington, we had a $5 trillion surplus.",Deception
"Says that President Obama promised that with the stimulus plan, unemployment would never go above 8 percent. He even said it would be 6 percent by now.",Deception
"Forcing Americans off of their current health coverage and onto a government-run plan isn't the answer, but that's exactly what the Democrats' plan would do.",Deception
The health care law is accelerating our country toward bankruptcy.,Deception
"The Republican leadership in the House has refused to address the issues that matter the most to Rhode Island, such as passing a jobs bill.",Deception
Reporters have uncovered another Scott company accused of criminal acts. But Scott wont come clean.,Deception
"Says that in the Philippines more than a century ago, Gen. John Pershing took 50 bullets, and he dipped them in pigs blood, and shot 49 Muslim rebels. The 50th person, he said, You go back to your people, and you tell them what happened. And for 25 years, there wasnt a problem.",Deception
"Californias marijuana legalization initiative, Prop. 64 allows marijuana smoking ads in prime time, on programs with millions of children and teenage viewers.",Deception
"Obama for President and Baldwin for Senate have kept their campaign offices up and running in Fox Valley, Eau Claire and La Crosse with their staffs preparing for the next battle.",Deception
You cannot build a little guy up by tearing a big guy down -- Abraham Lincoln said it.,Deception
A major part of the climate change bill sponsored by Sens. John Kerry and Joe Lieberman was essentially written by BP.,Deception
I never supported a state income tax for Texas.,Deception
Illegal immigration wasnt a subject that was on anybodys mind until I brought it up at my announcement.,Deception
"Says Rep. Charles Bass supports privatizing Social Security, risking trillions more on Wall Street.",Deception
We have one charter school that for seven years has been rated unacceptable.,Deception
I always supported civil unions.,Deception
John Boehner said the jobs of teachers and nurses and police officers and firefighters are government jobs that werent worth saving.,Deception
"Because Gov. Chris Christie vetoed a 30-bill job creation package, New Jersey ranks 50th in the nation in job creation.",Deception
I didnt try to push a bill to reduce lottery scholarship proceeds for students.,Deception
"I have the most Grammys of anyone my age, but I havent won one against a white person.",Deception
Says the hospital listed on Barack Obamas just-publicized long-form birth certificate denies the president was born there.,Deception
The U.S. Supreme Court is five guys who start determining what contraceptions are legal.,Deception
A poll taken a few months ago found 70 percent approval or higher for the Act 10 collective bargaining law.,Deception
New Jersey taxpayers will now face the highest tolls in the country.,Deception
Eric Holder is supportive of the NAACPs efforts to get the United Nations involved in our elections.,Deception
"Eric Cantor took $5 million from Sheldon Adelson, a Las Vegas casino owner.",Deception
"Back in the Great Recession, when millions of jobs across America hung in the balance, Donald Trump said rescuing the auto industry didnt really matter very much. He said, and I quote again, Let it go.",Deception
"Obama, Biden and their liberal allies oppose clean coal.",Deception
The Milwaukee County bus system has among the highest fares in the nation.,Deception
"Says a rape kit can be used to clean out women, basically like dilation and curettage.",Deception
Says Mark Warner told PolitiFact Nationals Lie of the Year in 2013.,Deception
Bill Nelson was the deciding vote on the health care law.,Deception
"Says unemployment in Trenton is twice as much as what we see in every other area of the state and, as a result, we have seen an increase in crime.",Deception
Barack Obama is the first president to file lawsuits against the states he swore an oath to protect.,Deception
"Says Congressman Jon Runyan has a plan to raise Medicare costs $6,400 a year.",Deception
Women pay 48 percent more for health insurance.,Deception
U.S. military involvement in Libya allowed thousands of surface-to-air missiles to fall into the hands of radical Islamists.,Deception
She is the only candidate who has stood by our community and immigration reform from the beginning.,Deception
"I was fighting against those (Republican) ideas when you were practicing law and representing your contributor, Rezko, in his slum landlord business in inner city Chicago.",Deception
State employees in Wisconsin earn about 8 percent less than if they worked in the private sector.,Deception
My opponent supported policies that increased tuition by 18 percent.,Deception
Obamacare includes a $63 charge every American will begin paying (in 2013) as a way to cover some of the increased costs associated with providing health insurance to those with pre-existing conditions.,Deception
You know how many children in the history of the United States have died in a fire (at school)? Zero.,Deception
"Says a group estimates that the annual cost to Oregon taxpayers for government services to illegal aliens, after any income tax revenue from them, is $1 billion.",Deception
Tim Kaine announced he wants to raise taxes on everyone.,Deception
The Massachusetts health care plan is wildly unpopular among state residents.,Deception
David Cicilline was required to provide key information about city finances to an independent outside auditor. The deadlines were clear -- yet [he intentionally] missed them by months until after the November 2010 election.,Deception
Says new mandates are already reducing full-time employment.,Deception
Says Denzel Washington supports Donald Trump and speaks out against Barack Obama.,Deception
"When Peppers tax was finally voted down, Pepper laid off cops and closed jails and let criminals run free in the streets.",Deception
"Under President George W. Bush, ""the national debt went from $5 trillion to $12 trillion.""",Deception
"On climate change, the temperature readings have been fabricated, and its all blowing up in their (scientists) faces.",Deception
Says his much-discussed boots are made in Wisconsin.,Deception
"The job [of correctional officer] lowers your life expectancy . . . Metropolitan did a study in, I believe it was 1998, and the life expectancy was 58.",Deception
Says Wisconsin Gov. Scott Walker has threatened to call out the National Guard if workers protest against changes to bargaining laws.,Deception
"In the United States, 50 percent of social services are provided by the Catholic church.",Deception
"In 2013, the United States accepted 67 percent of the worlds refugees.",Deception
Says U.S. Rep. Tom Price is sending letters both supporting and opposing the small-business killing Internet Tax Mandate.,Deception
"Says unlike Tim Kaine, who investedin education, Indiana Gov. Mike Pence slashed education funding.",Deception
DNC chair Debbie Wasserman Schultz denied unemployment went up under Obama.,Deception
Amendment 1 protects Florida seniors from scams and rip-offs.,Deception
"The Florida House is ""holding the FINAL public hearing"" of a controversial education bill in the middle of spring break...""when they hope (teachers) are not watching or listening.""",Deception
There was serious voter fraud in California.,Deception
The Senate health care bill is longer than Tolstoy's 'War and Peace.',Deception
We have spent $350 million to deal with sea-level rise in the Miami area and hundreds of millions of dollars to deal with coral reefs.,Deception
"Bank of America could create 878,300 jobs with benefits if they spent their 2010 bonuses on job creation.",Deception
A friends sister died from Obamacare becauseBlue Shield completely just pulled out of California.,Deception
"In Catherine Cortez Mastos last term as attorney general, Nevada murder went up 11 percent, robbery went up 28 percent, rape 51 percent. When Cortez Masto left office, Nevada ranked as Americas third most dangerous state.",Deception
"Following the catastrophic, cascading collapse of major investment banks on Wall Street in 2007.....Nobody was prosecuted, no hearings were held and no reforms were implemented.",Deception
"It's ""common knowledge"" that al-Qaida is receiving training from Iran.",Deception
"Barack Obama has ""pledged to reduce the size of the military.""",Deception
ISIS is going to people showing videos of Donald Trump insulting Islam and Muslims in order to recruit more radical jihadists.,Deception
"Says Alaska Sen. Mark Begich is on record supporting a carbon tax, even pushing Harry Reid to make it a priority.",Deception
"Says that in 2009 ExxonMobil paid no federal income taxes, received a $156 million rebate.",Deception
President Obama went around the world and apologized for America.,Deception
College students who are NOT U.S. Citizens and who get the PELL Grant plan to return to their home countries after getting free gas cards and child care.,Deception
Scientists project that the Arctic will be ice-free in the summer of 2013.,Deception
"The U.S. Army had a training program that put evangelical Christians, Catholics and Mormons in the same category of religious extremism as we do al-Qaida.",Deception
"In 2009, Jim Doyle and the Democrats rushed through a budget repair bill with billions in tax increases and held no public hearings.",Deception
In this country we have more natural gas than Saudi Arabia has oil.,Deception
We have more kids take the SAT than any other state in the nation. I mean a high percentage of our kids take the SAT.,Deception
She hasn't run a corner store. She hasn't run a state. She hasn't run a city. She has never run anything.,Deception
Fundamental changes made to the language describing the Wisconsin Idea in the University of Wisconsin Systems mission statement were the result of a drafting error.,Deception
"Hillary (Clinton), one time late at night when she was exhausted, misstated and immediately apologized for it, what happened to her in Bosnia in 1995.",Deception
Says Democratic legislators this year dont want to cut your taxes under any circumstances.,Deception
"Says the KKK marched in Mebane, N.C., after Trumps victory",Deception
Liberals have figured out a Facebook algorithm and all the people getting banned from Facebook are somehow conservatives.,Deception
A flight from Atlanta to Houston was canceled due to a terrorist dry run.,Deception
"A 10-year state program that created 202 jobs at a cost of $247,000 per job was approved by former Gov. Jim Doyle.",Deception
Planned Parenthood is not actually doing womens health issues.,Deception
A photo from the Russia-Finland hockey game shows a sad Vladimir Putin and Dmitry Medvedev.,Deception
"In Wisconsin, the stimulus paid for a bridge to a bar called Rusty's Backwater Saloon. They've got great burgers, but no new jobs.",Deception
Says Republican U.S. Rep. Sean Duffy voted against paying our soldiers and against increasing combat pay while voting to protect his own pay.,Deception
We spend more money on antacids than we do on politics.,Deception
"The health care law could cost up to $2 trillion, double what we were promised.",Deception
Says Jonathan Gruber was some adviser who never worked on our staff.,Deception
"Says Ted Cruz said, There is no place for gays or atheists in my America. None. Our Constitution makes that clear.",Deception
Foreign Chinese prostitution money is allegedly behind the groups funding Congressman Scott DesJarlaiss (TN-04) Republican Majority.,Deception
83% of doctors have considered leaving the profession because of #Obamacare.,Deception
There is no statistical evidence that bail bonds increase the likelihood of those awaiting trial returning to court for their scheduled hearings.,Deception
Says U.S. Rep. Charles Bass wants to privatize Social Security.,Deception
Says his plan to end the toll on Ga. 400 fulfills his campaign promise to commuters.,Deception
"Says Ron Johnson justifies his support of trade agreements by saying the U.S. has the Trade Adjustment Assistance program for displaced workers, but then he voted to eliminate it.",Deception
"Says Ron Saunders made the choice to stand with Rick Scott on expanding school vouchers, restricting scholarships and giving tax breaks to the wealthy.",Deception
"Under Obamacare, 75 percent of small businesses now say they are going to be forced to either fire workers or cut their hours.",Deception
Says Bruce Braley took tens of thousands from his friends in the health insurance industry and gave them special favors by voting for Obamacare.,Deception
Says Charlie Bass forfeits right to equal cost for TV ads under FCC rules,Deception
Minnick voted to let the government fund abortion under Obamacare.,Deception
"President Barack Obama is the first president to keep a dog-trainer on retainer for $102,000 a year at taxpayer expense.",Deception
"Says President Barack Obama doubled the national debt, which had taken more than two centuries to accumulate, in one year.",Deception
"From Obama's book: ""I found a solace in nursing a pervasive sense of grievance and animosity against my mother's race.""",Deception
The health care law adds around $800 billion of taxes on the American people. It does not discriminate between rich and poor.,Deception
"Beyonce and Jay Z, I like them, I like them ... I get bigger crowds than they do. Its true. I get far bigger crowds.",Deception
Austin politicians want to cram more kids into classrooms so they dont have to make the tough decisions to balance the budget.,Deception
"Before this law, any group could go out anywhere, register voters, sit on the voter registration forms for unlimited amount of time.",Deception
"In Rhode Island, there were thousands of jobs that were created by the federal stimulus program",Deception
Says Mitt Romney once supported President Obamas health care plan but now opposes it.,Deception
Obama tells Russia that hell turn over Americas defense system to them if re-elected.,Deception
"Under Gov. Scott Walker, employer confidence now stands at 95 percent, compared to only 10 percent at the end of the Gov. Jim Doyle-Mary Burke administration.",Deception
Says Sen. JeanneShaheens wealth has surged while in public office.,Deception
Every person on death row was a foster kid.,Deception
The stimulus has $30 million in there to protect mice in San Francisco.,Deception
Ed Gillespie would not mention (Donald Trumps) name unless he was condemning him.,Deception
"Every time the weight of that vehicle is reduced by a hundred pounds, your chances of dying are going to go up by about 5 percent. Peel three hundred pounds off youre 15 percent more likely to die in that car.",Deception
Barack Obama and Hillary Clinton have left us with $19 trillion in debt.,Deception
Its clear thatHillary Clintonviolated national security laws.,Deception
"Says he first unveiled his new legislative agenda in Wisconsin, not in California as critics complain",Deception
Roughly 700 Georgians die needlessly each year because they are too far from a trauma center.,Deception
"If people work and make more money, they lose more in benefits than they would earn in salary.",Deception
"Originally, Democrats promised that if you liked your health care plan, you could keep it. One year later we know that you need a waiver to keep your plan.",Deception
"Obama said that ""since 1992, the Republicans have had all the good ideas...""",Deception
The only reason the unemployment rate is going down is because twice as many people dropped out of the employment pool as the number of jobs were created.,Deception
SaysDavid Perdue made tens of millions of dollars piling a firm with billions in debt.,Deception
Reporters rehearse questions with White House press (secretary).,Deception
We dont allow filming inside of the City Hall unless there is a specific reason.,Deception
Nearly 25 percent of all automobile accidents are caused by texting while driving.,Deception
Patrick Rose voted to explore a state income tax.,Deception
"If the legislature refuses to expand Medicaid, 27 states are going to get our money Virginia taxpayer money into their states to provide health care for their citizens, paid for by us.",Deception
Ive supported every investigation (into Hurricane Katrina) and ways of finding out how what caused the tragedy. Ive met with people on the ground. Ive met with the governor.,Deception
Science has not shown greenhouse gases to be a problem.,Deception
No one on my staff has ever been charged with a crime.,Deception
"Says Donna Campbell is pushing a 35 percent sales tax extending to medicine, groceries and real estate.",Deception
Says the Hawaii governor cant find anything that says (President Barack Obama) was born in Hawaii.,Deception
Common Core is education through Washington D.C.,Deception
CNNs Crap Polling is so bad that it shows that no one under the age of 50 has an opinion of Hillary Clinton.,Deception
The Human Rights Campaign is more powerful than the NRA.,Deception
"Under Obamacare, when you turn Medicaid over to the states ... the money will be available up front for the expansion for a few years. Then, the money will go away.",Deception
The (health care) law does not demand that all of these cancellations go out.,Deception
On high-speed rail.,Deception
The Fed created $15 trillion in the bailout process and $5 trillion went overseas.,Deception
We flood communities with so many guns that it is easier for a teenager to buy a Glock than get his hands on a computer or even a book.,Deception
"The USAFreedom Act undercuts privacy becausethe phone records will be in the hands of the phone companies with hundreds of people available to look at the records, versus 20 or 30 people in the government.",Deception
One of the reasons that Budweiser stayed in New Jersey is the money they got from RGGI to put solar on their roof to save on their energy costs.,Deception
"Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.",Deception
The president promised that if he spent money on a stimulus program that unemployment would go to 5.7 percent or 6 percent. Those were his words.,Deception
Says Democratic Party created Planned Parenthood,Deception
"Jobs incentive program created over 1,200 high-wage jobs since 2009.",Deception
The president is brain-dead.,Deception
